,Unnamed: 0,address
0,0,"Санкт-Петербург, 5-ый Рыбацкий проезд, д.18, лит.Б, помещение 1-Н, ч.п. 2-13"
1,1,"Санкт-Петербург, проспект Стачек, д.100, лит.А, помещение 5-Н, ч.п. 100-110"
2,2,"Санкт-Петербург, пос. Мурино, ш. в Лаврики, д.61, Лит. А, здание административного корпуса, помещения 39-44"
3,3,"Санкт-Петербург, Московский проспект, д.28, лит.А, пом. 63, 15"
4,4,"Санкт-Петербург, Торфяная дорога, д.4, лит.А, пом. 46-47"
5,5,"Санкт-Петербург, проспект Обуховской Обороны, д.114, кор.1, лит. А, пом. 31, 31а"
6,6,"Санкт-Петербург, площадь Стачек, д.2, лит.А, пом. 37"
7,7,"Санкт-Петербург, улица Одоевского, д.29, лит. А, пом.30"
8,8,"Санкт-Петербург, улица Коллонтай, д.20, лит.А, пом. 53"
9,9,"Санкт-Петербург, улица Смолячкова, д.21, лит.А, пом. 50"
10,10,"Санкт-Петербург, , проспект Стачек, д.100, лит.Т, помещение 7-Н, ч.п. 17"
11,11,"Санкт-Петербург, Витебский проспект, д.107, лит.И, помещение 4-Н, ч.п. 2-8"
12,12,"Санкт-Петербург, пос. Парголово, пр. Энгельса, д.162, литера Р, помещение 1-Н, ч.п. 109, 111, 113, 114, 115"
13,13,"Санкт-Петербург, проспект Стачек, д.100, лит.Д, помещение 1-Н, ч.п. 39"
14,14,"Санкт-Петербург, Елецкая улица, д.15а, лит.А, пом. 51"
15,15,"Санкт-Петербург, пос. Парголово, пр. Энгельса, д.162, литера А, помещение 1-Н, ч.п. 97-108"
16,16,"Санкт-Петербург, ул. Боровая, д.55"
17,17,"Санкт-Петербург, ул. Тимуровсккая, д. 17, корп. 3, лит. А, ч. пом. 1Н (пом. 61, 69, 72, 73, 75, 77-87), ч. п. 2Н (пом. 41, 42), ч. пом. 4Н (пом. 1-3, 6-9, 11-16, 34, 35, 41, 42), ч. пом. 5Н (пом. 5-22, 24-32, 35, 36), ч. пом. 6Н (пом. 1-16, 20-42)"
18,18,"Санкт-Петербург, Трамвайный пер.,д.22, корп.2"
19,19,"Санкт-Петербург, Костромской пр., д. 11, лит. А, пом. 5-Н, 17-Н"
20,20,"Санкт-Петербург, Костромской пр., д. 11, лит. А, в пом. 17-Н часть пом. 17-н"
21,21,"Санкт-Петербург, ул. Борова, д. 84, лит. А, пом. 1Н"
22,22,"Санкт-Петербург, ул. Варшавская, д.19, к. 2 лит. А, пом. 65Н"
23,23,"Санкт-Петербург, Невский пр., д . 46, лит. А, пом. 8-Н, 9-Н, 12-Н, 13-Н, 14-Н, 15-Н, 16-Н, 17-Н, 21-Н, 22-Н, 23-Н, 26-Н,"
24,24,"Санкт-Петербург, Невский пр., д . 44, лит. А, пом. 38-Н"
25,25,"Санкт-Петербург, ул. Гороховая, д. 6"
26,26,"Санкт-Петербург, Костромской пр., д. 11, лит. А, пом. 17-Н, 5-Н"
27,27,"Санкт-Петербург, ул. Седова, д. 94, лит. А пом. 4Н, 11Н, 6Н, ч. п. (2, 7-10)"
28,28,"Санкт-Петербург, Трамвайный проспект, д. 22, кор. 2, лит. А"
29,29,"Санкт-Петербург, 8-я линия В.О., д. 77, литер А, помещение 2-С"
30,30,"Санкт-Петербург, ул. Боровая, д. 55, лит. А"
